Etr,Erot1_in,Erot2_in,Etr_out,Erot1_out,Erot2_out
1.4613409729370207e-21,3.289409708256929e-21,1.0545993584997038e-20,2.751501805360638e-21,5.61947798378933e-21,6.925724157353647e-21
1.902559294191405e-20,3.0086532484487714e-21,2.627699773011484e-21,1.568653014485464e-20,8.421267401259092e-21,5.54659795925455e-22
2.205732485567792e-21,5.876828313965099e-22,5.412067757989941e-21,6.196540930348727e-21,3.752165304432358e-22,1.634145630538683e-21
1.3167760618144143e-20,6.465334406375911e-21,7.364834994025381e-23,1.5347442453752486e-20,2.2798591598324244e-22,4.1305778162633634e-21
8.274585414974135e-21,4.458893042336086e-21,6.396481968032057e-22,9.602549836936575e-21,9.537217299242157e-22,2.8177623907648477e-21
1.4848710514864737e-20,1.726474965111887e-20,9.876119229066367e-21,1.9544402253990752e-20,6.503786003252839e-21,1.5940537196551515e-20
1.295951424564225e-20,5.621633841871408e-22,2.333583014788535e-21,9.989394624569059e-21,1.634368801482287e-22,5.70290793644405e-21
1.5553889095908791e-21,5.483218486477063e-21,1.5506810999555024e-21,6.929405575216698e-21,7.16703481756578e-22,9.441349552040717e-22
4.239012765100036e-21,9.94552636656124e-21,2.97355437236895e-22,1.1060274278081789e-20,2.9133775284801745e-21,5.077859845585874e-22
2.406175561501465e-21,4.094907789699245e-21,1.0791526727205528e-22,4.711001799057414e-21,9.701206410067358e-22,9.275546384460022e-22
2.7163247139789105e-21,3.9742525634731834e-22,1.5371083386158808e-21,2.4968652202110146e-21,2.053992037117655e-21,9.884595178509434e-23
5.11302291400452e-21,1.8276894412943137e-20,5.788252882832069e-21,1.7961564346079247e-20,9.9941064172102e-21,1.2232442501133106e-21
7.574666180189722e-21,9.31113783977106e-21,5.688296260607908e-21,1.0783184572822344e-20,1.1160962290620973e-20,6.30289973171629e-22
3.883918251310543e-21,8.61877861360267e-22,4.84485238612099e-22,3.264962889029083e-21,1.0877523996522684e-22,1.857290378071291e-21
2.604067976709526e-21,1.7013456364720055e-21,7.754915044923322e-21,4.963597558443107e-21,5.8606201033934515e-21,1.2365736930286325e-21
1.3731597428486392e-20,1.458164060024412e-21,6.514014664391828e-21,1.1906970665214184e-20,8.435889741507404e-21,1.3617964350144915e-21
2.9419610545750092e-21,4.397570502669796e-21,7.03484662782631e-21,6.628253740351005e-21,5.508734784903998e-22,7.194271291724225e-21
3.903836338277861e-21,1.0237276259161138e-21,3.2486932195057892e-21,4.900895942668419e-21,1.6766584051963168e-21,1.598809167214952e-21
2.6318626485876463e-21,2.154582460376877e-21,3.436441963688292e-21,5.682471239472919e-21,1.6467483438903627e-21,8.93759337837591e-22
